session_id,session_title,canceled,description,session_type,start_time,end_time,recorded,skill_level,speakers,room,tracks,sponsored_by,cost
1063,10 things you didn’t know you could do in R,False,"<p class=""mt-4 leading-relaxed text-gray-800"">R is great for quick data exploration, visualization and spatial analysis. But did you know you can extract text from images, send customized emails and chat with PDFs all without ever leaving the cozy comfort of R?</p>
<p class=""mt-4 leading-relaxed text-gray-800"">In this session, we&#39;ll zip through a few lesser-known or relatively new R packages for working with large language models, media and databases. Though pitched at intermediate users interested in getting more mileage out of R, this demo will also give beginners a taste of what&#39;s possible. As a bonus, we&#39;ll invite attendees to complete a short survey sharing some of the unexpected ways they use R in their newsrooms and circulate the results in a tip sheet after the session.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for people with some experience working with R. Laptops will be provided.</p>",Hands-on,2026-03-05T20:45:00.000Z,2026-03-05T23:00:00.000Z,False,Intermediate,['dfbb8e1c'],204,"['Data analysis', 'Tools & Tech']",,
1064,Using open-source tools to investigate public transit,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Public transit systems offer a treasure trove of data that can reveal vital insights into accessibility, equity, and efficiency. Together, we’ll learn how to harness the data that powers tools like Google Maps and explore how these datasets can be used to investigate service coverage, travel times, and on-time performance. Whether you&#39;re uncovering how well a city serves its residents or tracking disparities in service quality, this session will arm you with the skills to transform transit data into compelling stories.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for those with some spreadsheets experience. Laptops will be provided.</p>",Hands-on,2026-03-06T16:30:00.000Z,2026-03-06T17:30:00.000Z,False,Beginner,['628205d5'],205,"['Beat reporting', 'Story ideas', 'Tools & Tech']",,
1065,Building your first SvelteKit data app,False,"<p class=""mt-4 leading-relaxed text-gray-800"">SvelteKit is a user-friendly JavaScript framework that allows you to easily build and deploy web apps. Join us for a crash course in using SvelteKit to make a data-driven interactive.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is great for those with frontend development knowledge. Laptops will be provided.</p>",Hands-on,2026-03-07T19:30:00.000Z,2026-03-07T20:30:00.000Z,False,Advanced,['d57676aa'],205,['Tools & Tech'],,
1068,Scraping without programming,False,"<p class=""mt-4 leading-relaxed text-gray-800"">&quot;Scraping&quot; is a catch-all word for grabbing information off a web page and into your spreadsheet - whether the website wants you to or not. This session will introduce easy, hands-on methods for scraping data from a live webpage without having to learn any code. We will use the ImportHTML and ImportXML formulas in Google Sheets.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Scraping beginners welcome! Attendees will need to bring their own laptop (no tablets) to participate in this class.</p>",Hands-on,2026-03-06T19:30:00.000Z,2026-03-06T20:30:00.000Z,False,Beginner,['168c940b'],202,"['Data analysis', 'Tools & Tech']",,
1069,Using data to investigate the global surveillance industry,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Around the world, shadowy firms are siphoning location data from apps, telecom networks, and rogue brokers to track people with chilling precision. Whether it’s journalists, Silicon Valley executives, or visitors to Jeffrey Epstein’s island, no one is off-limits. This panel brings together journalists who have exposed how invisible surveillance infrastructure is being used to follow people worldwide—and how little stands in the way. The journalists will explain how they uncovered these stories, how they obtained covert datasets through techniques ranging from identifying misconfigured cloud storage buckets to scouring undocumented APIs. They’ll break down how journalists can use data to expose the inner workings of the shadowy tracking systems and offer practical methods for investigating the rapidly expanding global surveillance industry.</p>",Panel,2026-03-05T14:00:00.000Z,2026-03-05T15:00:00.000Z,True,Beginner,"['e346455b', '25542826', 'b0e0c3e3']",White River E,"['Data analysis', 'Data viz', 'Beat reporting']",,
1070,Finding the story: Trade data,False,"<p class=""mt-4 leading-relaxed text-gray-800"">As trade and tariffs become an increasingly relevant issue, this session will demo a free (but very unintuitive) tool from the U.S. Census: USA Trade! USA Trade has comprehensive, district-level data (with lots of hidden gems) that can be useful for data journalists across beats, especially those relating to global economics, trade, tech, and foreign policy. This session will demonstrate how to use USA Trade and discuss some ways to understand and use the data in your reporting. This session is good for everyone interested in learning more about trade stats.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">No data experience is necessary! Attendees will need to bring their own laptops (preferably no tablets) for the training.</p>",Hands-on,2026-03-06T15:15:00.000Z,2026-03-06T16:15:00.000Z,False,Beginner,['08d3caeb'],201,['Beat reporting'],,
1071,Elevate your graphics with Illustrator!,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Illustrator is a great tool for creating beautiful, completely unique data viz and graphics – but the best part is it doesn’t need to all be done from scratch. In this session, we will go over ways to begin making your chart using various online tools that most newsrooms already use (like Datawrapper, RawGraphs, Flourish, ggplot, etc.) but elevate its design with the magic of SVGs and vector graphics programs like Adobe Illustrator. We’ll talk through color choices, fonts, accessibility, framing, and more – and give you tips and tricks to create stunning graphics that you can customize to your heart’s delight.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for beginners. Attendees will need to bring their own laptop (no tablets) to participate in this class.</p>",Hands-on,2026-03-07T15:15:00.000Z,2026-03-07T16:15:00.000Z,False,Beginner,"['08d3caeb', '87b0ae26']",202,['Data viz'],,
1075,Tips to investigate influencers and live-streamers,False,"<p class=""mt-4 leading-relaxed text-gray-800"">This session centers around the tools used for three recent stories involving video analysis.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">The reporting subjects include a deep dive into political podcasters in the run-up to the 2024 U.S. Presidential Election and linking the advertisers propping up right-wing influencers.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Through these case studies we will highlight tools to archive videos, inspect metadata, analyze transcripts, map guest networks, and detect text and objects in video.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Come learn some new tools for your next investigation!</p>",Panel,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,True,Beginner,['d986a8f6'],White River D,"['Beat reporting', 'Story ideas']",,
1078,Think spatially: Finding stories in geographic data with geopandas,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Geographic data can do more than make pretty maps—it can help you find stories. In this hands-on session, you’ll learn how to use Geopandas, a Python tool that lets you work with location data just like you work with spreadsheets. We’ll focus on how to ask and answer reporting questions with geographic data: Which neighborhoods have the most potholes? Which schools are near industrial sites? Where do service gaps overlap?</p>
<p class=""mt-4 leading-relaxed text-gray-800"">You’ll learn how to combine and compare different datasets, look for patterns and boundaries, and measure what’s happening where. We’ll also look briefly at how to show your results on a map, but the main goal is to help you use location data for analysis—not just visualization.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for people with experience working with Python. Laptops will be provided.</p>",Hands-on,2026-03-06T20:45:00.000Z,2026-03-06T21:45:00.000Z,False,Intermediate,['a2c56652'],205,"['Mapping', 'Tools & Tech']",,
1086,Rubric-a-palooza,False,"<p class=""mt-4 leading-relaxed text-gray-800"">At this demo party, we’ll discuss the Science of Teaching and Learning (SoTL) behind effective ways to give students feedback. Ideally, we’ll learn tips and tricks from one another as well as from the literature and do a hands-on exercise using AI tools to help us write effective rubrics for our assignments.</p>",Demo,2026-03-07T19:30:00.000Z,2026-03-07T20:30:00.000Z,False,Intermediate,"['21839acb', 'a3761ae7']",209,['Educators'],,
1087,Automating mass scraping with AI,False,"<p class=""mt-4 leading-relaxed text-gray-800"">This session will explore tools to create scrapers and structured data from websites with the help of LLMs. Scraping data off the web is not new for journalists, but what about when the data is spread out across hundreds of websites in dozens of formats? Writing and maintaining fleets of scrapers may have previously required a team of data journalists, but new methods allow us to use LLMs to analyze the structure of a website and automatically generate a working scraper. This means we can pursue stories involving more ambitious data collection on deadline.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">In this session, we will demonstrate a package we built at the Tow Center for Digital Journalism called “Scraper Factory,” which uses LLMs to write Python scrapers. We will discuss stories where we have used this approach and solicit input from the community on best practices and innovations with these new methods.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for those who have a familiarity of the command line, basic scraping skills, and are wanting to work in Python. Laptops will be provided. You will need a GitHub account to participate.</p>",Hands-on,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,False,Advanced,"['1edc141b', '21839acb', '64bded4a']",104,['AI'],,
1088,Clustering and mapping text data for journalism,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Analysis of large text datasets can be difficult, and finding story ideas can be even harder, especially when you’re not sure what you’re looking for. This session teaches you to explore large sets of documents using semantic maps—visual clusters with similar documents grouped together in a two-dimensional chart. Users will learn how to convert text documents into embeddings, visualize them in two dimensions, and explore the data for insights by applying filters by keyword or time period. Applications include: parsing FOIA responses, tracking similar legislative language, or finding new areas of concern in school board comments.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Participants will leave with the ability to map and cluster a sample of text data with provided code. This session is good for those with some Python experience. Laptops will be provided. You will need a GitHub account to participate.</p>",Hands-on,2026-03-06T19:30:00.000Z,2026-03-06T20:30:00.000Z,False,Intermediate,"['1edc141b', '21839acb', '56926de5']",104,['Data analysis'],,
1089,Using immigration data to tell stories in your community,False,"<p class=""mt-4 leading-relaxed text-gray-800"">There&#39;s no shortage of data that can help you tell local stories on the sprawling immigration beat, but the data are often scattered, inconsistent and come with lots of caveats. This hands-on session will walk you through telling a data-driven story on asylum rates in your city or state, from gathering the data to analyzing it. We&#39;ll also give you an overview of other immigration data sources to help you tell stories on how policies out of Washington impact your community — from immigration enforcement to the court system.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session&#39;s instructors are fluent in both Python and R. Code in both languages will be provided and instructors will be able to assist attendees following along in either language. The class will be taught in whichever language the majority of attendees vote for at the start of the session!</p>",Demo,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,False,Beginner,"['44ee205d', 'e72ecd8a']",102,"['Beat reporting', 'Data analysis', 'Local', 'Public records', 'Story ideas']",,
1091,How to investigate Telegram,False,"<p class=""mt-4 leading-relaxed text-gray-800"">A session that shows participants a variety of tools and tricks for investigating Telegram chats and channels. Telegram is a primary source for a lot of newsworthy activity: militias in armed conflicts around the world, neo-Nazi terror organizations, illicit markets, etc. Telegram also has a very open and accessible API, which makes fetching and working with their data easier than many other social media platforms. But there&#39;s a lot of features of and knowledge about Telegram that often isn&#39;t always apparent, which can cause pitfalls for journalists and researchers who aren&#39;t familiar with it.</p>",Demo,2026-03-06T15:15:00.000Z,2026-03-06T16:15:00.000Z,False,Beginner,"['f8baf364', '77ca345f']",102,"['Beat reporting', 'Data analysis', 'Research', 'Story ideas', 'Tools & Tech']",,
1092,How to scrape an entire social media platform,False,"<p class=""mt-4 leading-relaxed text-gray-800"">There&#39;s an interesting &quot;alt&quot; social media platform called pilled.net, which is popular in the conspiracy theory community. It has an API that&#39;s straightforward to engineer, and it has only about 1 million posts. So it&#39;s possible to fairly easily create a scraper, then scrape and analyze the entire platform.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">The sessions will show how to reverse engineer a social media platform&#39;s APIs, how to implement a scraper in Python, how to use the scraper to collect all the data, and then a few high-level analyses that can be done on the data.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for those with some working with Python. Laptops will be provided.</p>",Hands-on,2026-03-06T16:30:00.000Z,2026-03-06T17:30:00.000Z,False,Advanced,"['bc201430', '35ca5e61']",104,['Tools & Tech'],,
1094,Using open-source intelligence (OSINT) in investigations,False,"<p class=""mt-4 leading-relaxed text-gray-800"">This session will show how journalists can begin incorporating open-source research methodologies in their investigations, with examples from real articles.</p>",Panel,2026-03-07T15:15:00.000Z,2026-03-07T16:15:00.000Z,True,Beginner,"['f8baf364', '77ca345f', 'e346455b']",White River E,['Research'],,
1096,Accessibility basics,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Come to this session for a crash course in some of the issues to consider when meeting basic accessibility requirements for digital news. Panelists will discuss topics including color accessibility, alt text, mouseless navigation, and more.</p>",Panel,2026-03-06T15:15:00.000Z,2026-03-06T16:15:00.000Z,True,Beginner,"['eb17e8dc', '5603ece1', '51866b2b']",White River E,"['Equity, inclusion and accessibility']",,
1098,From satellites to stories: Leveraging Google Earth Engine to analyze global environmental datasets for local reporting,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Accessing openly published maps and models from the latest research has never been easier through platforms like Google Earth Engine (GEE), enabling journalists to expose systemic patterns of environmental harm at scale—including those not already captured in government statistics—while honing in on, based on data, the most salient case studies for detailed ground reporting.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">In this session, you will learn how to access the forest change dataset powering Global Forest Watch for free through GEE with just one line of code. You’ll then quantify changes to forests in a local area and, most importantly, analyze this remotely sensed data together with detailed local data to illuminate impacts of environmental change on communities.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for those with some experience working with geospatial data. Attendees will need to bring their own laptop (no tablets) to participate in this class.</p>",Hands-on,2026-03-06T19:30:00.000Z,2026-03-06T20:30:00.000Z,False,Intermediate,['3625d19a'],201,"['Mapping', 'Data analysis', 'Tools & Tech']",,
1101,AI agents and pipelines with no-code tools,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Want an automatic digest of news on your beat or what your city council has been up to? Get pinged on Slack with a summary when an editor takes a pass at your story?  All without touching a line of code?</p>
<p class=""mt-4 leading-relaxed text-gray-800"">In this session we&#39;ll learn to use no-code AI pipeline tools like n8n and ActivePieces to automate journalistic processes. Learn what agents and pipelines are, what they do, and the bevy of vocabulary and technical terms you&#39;ll need to put your own workflows to... work!</p>
<p class=""mt-4 leading-relaxed text-gray-800"">- What APIs are and how they can supercharge your workflow<br/>- Schedule monthly, weekly, or hourly automatic processes<br/>- How to set up and use webhooks to trigger actions<br/>- Differences between providers and models<br/>- Unraveling technical settings like temperature and structured output</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Participants will learn the fundamental basics of how no-code AI pipeline tools work and integrate with other services, and will be well-prepared to start exploring on their own.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for people with some experience working with data. Attendees will need to bring their own laptop (no tablets) to participate in this class.</p>",Hands-on,2026-03-05T22:00:00.000Z,2026-03-05T23:00:00.000Z,False,Intermediate,['ccff7980'],202,['AI'],,
1106,Modern document processing with Natural PDF,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Writing Python scripts to extract data from PDFs is always a nightmare - misshapen tables, arbitrary form formatting, tiny text or low-quality scanned texts. Your champion is here in the form of Natural PDF, a new Python library for wrangling data that&#39;s focused on usability and cramming in as many features as possible. Write your code just like you&#39;d ask &quot;real-language&quot; questions:</p>
<p class=""mt-4 leading-relaxed text-gray-800"">- &quot;Find the bold text that ends with a colon and get the text to the right of it&quot;<br/>- &quot;Show me all pages that include diagrams&quot;<br/>- &quot;Ignore everything above the thick horizontal line&quot;</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Natural PDF also comes bundled with all sorts of modern AI-based magic:</p>
<p class=""mt-4 leading-relaxed text-gray-800"">- Categorize pages or entire PDFs by text or vision models<br/>- Use powerful layout analysis engines to recognize images, tables, headers, and paragraphs<br/>- Multilingual OCR powered by multiple engines + LLM-correcting integration</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Participants will leave with a solid understanding of how to extract data from difficult (and simple) PDFs using Python.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for those with some experience working with Python. Laptops will be provided.</p>",Hands-on,2026-03-06T20:45:00.000Z,2026-03-06T21:45:00.000Z,False,Advanced,['ccff7980'],104,"['AI', 'Tools & Tech']",,
